"Unidade";"Grupo Base";"Nome Grupo";"Fonte Recurso";"Recolhimento";"Data";"Situacao";"Guia";"Data Guia";"Valor";"Finalidade";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00146764/2010";"21/01/2010";"Recolhido";"00001/2010";"08/01/2010";"14.285,14";"Pagamento de Aluguel-Fundaçâo Zerbini - INCOR - (NOVEMBRO/09)";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Aluguéis-Usp";"00146721/2010";"21/01/2010";"Recolhido";"00002/2010";"08/01/2010";"1.052,82";"Aluguel de Permissâo de uso de espaço, destinado a exploração de serviços reprograficos - 5a Parcela";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00186707/2010";"27/01/2010";"Recolhido";"00006/2010";"26/01/2010";"1.350,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Aluguéis-Usp";"00186693/2010";"27/01/2010";"Recolhido";"00007/2010";"26/01/2010";"10.177,81";"41o. Pagamento (14.12.09 a 14.01.2010) Pagamento de Aluguel p/ Exploração Comercial da Lanchonete/Restaurante";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00186685/2010";"27/01/2010";"Recolhido";"00008/2010";"26/01/2010";"60,00";"Assinatura da RBEFE - Volume 24 - 2010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00186677/2010";"27/01/2010";"Recolhido";"00009/2010";"26/01/2010";"120,00";"Assinatura da RBEFE - Volume 23/24 - 2009/2010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00186650/2010";"27/01/2010";"Recolhido";"00010/2010";"26/01/2010";"6.210,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00186634/2010";"27/01/2010";"Recolhido";"00011/2010";"26/01/2010";"1.200,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Extensão sem Convênio Unidade";"00198250/2010";"29/01/2010";"Recolhido";"00012/2010";"28/01/2010";"570,00";"Assessoria e Consultoria - Vita Care - (Janeiro/2010) Parte EEFE";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00198349/2010";"29/01/2010";"Recolhido";"00014/2010";"28/01/2010";"1.200,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00198357/2010";"29/01/2010";"Recolhido";"00015/2010";"28/01/2010";"1.500,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00192529/2010";"28/01/2010";"Recolhido";"00016/2010";"28/01/2010";"50,00";"Inscrição de Doutorado";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00192545/2010";"28/01/2010";"Recolhido";"00017/2010";"28/01/2010";"50,00";"Inscrição de Doutorado";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00219974/2010";"01/02/2010";"Recolhido";"00018/2010";"29/01/2010";"1.350,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00219982/2010";"01/02/2010";"Recolhido";"00019/2010";"29/01/2010";"600,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00238022/2010";"02/02/2010";"Recolhido";"00020/2010";"29/01/2010";"13.928,32";"Pagamento de Aluguel-Fundaçâo Zerbini - INCOR - (DEZEMBRO/09)";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00249881/2010";"03/02/2010";"Recolhido";"00021/2010";"02/02/2010";"750,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00249890/2010";"03/02/2010";"Recolhido";"00022/2010";"02/02/2010";"300,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"   ";" ";"Devolução Adiantamento Exercício Receita";"00250693/2010";"03/02/2010";"Recolhido";"00023/2010";"03/02/2010";"660,00";"saldo não gasto de adiantamento no.30004526/2010 referente à dotação 225801/2010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00274401/2010";"05/02/2010";"Recolhido";"00024/2010";"04/02/2010";"900,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00274410/2010";"05/02/2010";"Recolhido";"00025/2010";"04/02/2010";"300,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Aluguéis-Usp";"00327963/2010";"11/02/2010";"Recolhido";"00027/2010";"05/02/2010";"1.052,82";"Aluguel de Permissâo de uso de espaço, destinado a exploração de serviços reprograficos - 6a Parcela";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00328056/2010";"11/02/2010";"Recolhido";"00029/2010";"09/02/2010";"120,00";"Assinatura da RBEFE - Volume 23/24 - 2009/2010

Endereço: Rua Avelino Tallini, 171-Bairro Universitário-Lajeado-RS-CEP.95900-000";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Extensão sem Convênio Unidade";"00328005/2010";"11/02/2010";"Recolhido";"00030/2010";"09/02/2010";"570,00";"Assessoria e Consultoria - Vita Care - (Fevereiro/2010) Parte EEFE";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00328080/2010";"11/02/2010";"Recolhido";"00032/2010";"10/02/2010";"1.100,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00328064/2010";"11/02/2010";"Recolhido";"00033/2010";"10/02/2010";"150,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00332274/2010";"11/02/2010";"Recolhido";"00034/2010";"11/02/2010";"60,00";"Assinatura da RBEFE - Volume 22 - 2008";
"EEFE    - Escola de Educação Física e Esporte";"   ";" ";"Devolução Adiantamento Exercício Tesouro";"00364079/2010";"18/02/2010";"Recolhido";"00035/2010";"18/02/2010";"20,00";"saldo não gasto de adiantamento no.30000709/2010 referente à dotação 215725/2010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Aluguéis-Usp";"00443335/2010";"25/02/2010";"Recolhido";"00036/2010";"22/02/2010";"10.177,81";"42o. Pagamento (14.01.2010 a 14.02.2010) Pagamento de Aluguel p/ Exploração Comercial da Lanchonete/Restaurante";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00443459/2010";"25/02/2010";"Recolhido";"00037/2010";"23/02/2010";"60,00";"Assinatura da RBEFE - Volume24 - 2010";
