"Unidade";"Grupo Base";"Nome Grupo";"Fonte Recurso";"Recolhimento";"Data";"Situacao";"Guia";"Data Guia";"Valor";"Finalidade";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00375881/2018";"05/02/2018";"Recolhido";"00001/2018";"18/01/2018";"85,80";"CÓPIAS REPROGRÁFICAS";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00375881/2018";"05/02/2018";"Recolhido";"00002/2018";"18/01/2018";"32,10";"CÓPIAS REPROGRÁFICAS";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00003/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00004/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00005/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00006/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00007/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00008/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00009/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00010/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00011/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00012/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00013/2018";"18/01/2018";"520,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
"EEFE    - Escola de Educação Física e Esporte";"179";"Convênios";"Extensão sem Convênio";"00270079/2018";"23/01/2018";"Recolhido";"00014/2018";"18/01/2018";"1.040,00";"Curso de Especialização - Nutrição Aplicada ao Exercício Fisico - 6a. Edição - 2017 - 2018";
